iter,train_loss,valid_loss,test_loss
1850,0.0017,0.0033,0.0036
1860,0.0015,0.0035,0.0033
1870,0.0016,0.0033,0.0033
1880,0.0018,0.0038,0.0035
1890,0.0017,0.0032,0.0035
1900,0.0016,0.0032,0.0035
1910,0.0022,0.0045,0.0035
1920,0.0018,0.0039,0.0031
1930,0.0014,0.0034,0.0031
1940,0.0015,0.0035,0.0031
1950,0.0018,0.0039,0.0034
1960,0.0016,0.0035,0.0032
1970,0.0016,0.0031,0.0034
1980,0.0017,0.0038,0.0032
1990,0.0013,0.0029,0.0032
2000,0.0022,0.0041,0.0038
2010,0.0014,0.003,0.0032
2020,0.0016,0.0037,0.0031
2030,0.0013,0.0028,0.0032
2040,0.0014,0.0032,0.0029
2050,0.0016,0.0037,0.003
2060,0.0013,0.0028,0.0032
2070,0.0011,0.0028,0.0028
2080,0.0013,0.0027,0.0029
2090,0.0017,0.0038,0.003
2100,0.0011,0.0027,0.0029
2110,0.0012,0.0026,0.003
2120,0.0023,0.0044,0.0036
2130,0.0015,0.0028,0.0031
2140,0.0011,0.0029,0.0027
2150,0.001,0.0028,0.0027
2160,0.0017,0.0029,0.0034
2170,0.0011,0.0025,0.0029
2180,0.0011,0.0025,0.0028
2190,0.0014,0.0034,0.0028
2200,0.0019,0.0037,0.003
2210,0.001,0.0025,0.0028
2220,0.0013,0.0026,0.0031
2230,0.0018,0.0027,0.0036
2240,0.0017,0.0028,0.0033
2250,0.0011,0.0026,0.0026
2260,0.0011,0.0025,0.0028
2270,0.0011,0.0024,0.0028
2280,0.0008,0.0025,0.0024
2290,0.0025,0.0034,0.0039
2300,0.0014,0.0029,0.0026
2310,0.0011,0.0029,0.0025
2320,0.001,0.0028,0.0025
2330,0.0012,0.0031,0.0025
2340,0.0011,0.0025,0.0028
2350,0.0014,0.0028,0.0028
2360,0.0012,0.003,0.0026
2370,0.0013,0.0032,0.0025
2380,0.0014,0.0033,0.0028
2390,0.001,0.0028,0.0025
2400,0.0013,0.0025,0.0029
2410,0.0008,0.0022,0.0025
2420,0.0008,0.0023,0.0024
