iter,train_loss,valid_loss,test_loss
1850,0.0037,0.0087,0.0385
1860,0.0037,0.0085,0.0364
1870,0.004,0.0075,0.0296
1880,0.0043,0.0065,0.0357
1890,0.0029,0.0066,0.0344
1900,0.0031,0.0058,0.0348
1910,0.0028,0.0064,0.0375
1920,0.0039,0.0098,0.0424
1930,0.0037,0.0066,0.0602
1940,0.0033,0.0066,0.0435
1950,0.0031,0.0062,0.0389
1960,0.0028,0.0065,0.0452
1970,0.003,0.0064,0.0368
1980,0.0027,0.0068,0.0366
1990,0.0026,0.0071,0.0405
2000,0.0025,0.0062,0.0435
2010,0.0025,0.0063,0.0451
2020,0.0025,0.0064,0.0439
2030,0.0025,0.0064,0.0466
2040,0.0024,0.0065,0.0453
2050,0.0038,0.0099,0.0504
2060,0.0052,0.0078,0.0383
2070,0.0041,0.0111,0.0319
2080,0.0034,0.0059,0.0391
2090,0.003,0.0059,0.035
2100,0.0026,0.0067,0.0378
2110,0.0026,0.0061,0.0384
2120,0.0038,0.0073,0.0301
2130,0.0031,0.0082,0.0387
2140,0.003,0.0087,0.0417
2150,0.0028,0.0074,0.0445
2160,0.0025,0.0071,0.0371
2170,0.0029,0.0082,0.0345
2180,0.0025,0.0075,0.0376
2190,0.0024,0.0068,0.0423
2200,0.0024,0.0066,0.0472
2210,0.0023,0.0062,0.0436
2220,0.0023,0.0063,0.0441
2230,0.0022,0.0062,0.0446
2240,0.0022,0.0061,0.045
2250,0.0035,0.0091,0.0502
2260,0.0038,0.0086,0.0555
2270,0.0057,0.0096,0.0393
2280,0.0037,0.0079,0.0509
2290,0.0031,0.0081,0.0463
2300,0.0026,0.0062,0.0451
2310,0.0024,0.0079,0.0393
2320,0.0029,0.0085,0.0406
2330,0.0039,0.006,0.0346
2340,0.0032,0.0081,0.0355
2350,0.003,0.0082,0.0414
2360,0.0026,0.0077,0.0418
2370,0.0031,0.009,0.049
2380,0.0025,0.0098,0.0353
2390,0.003,0.0084,0.0348
2400,0.0025,0.0077,0.0443
2410,0.0022,0.0075,0.0405
2420,0.0022,0.0069,0.0408
2430,0.0021,0.0068,0.0416
2440,0.0021,0.0067,0.0437
2450,0.0021,0.0066,0.0434
2460,0.0021,0.0065,0.0436
2470,0.0021,0.0063,0.0439
2480,0.0021,0.0063,0.0444
2490,0.002,0.0063,0.0449
2500,0.002,0.0064,0.0451
2510,0.002,0.0064,0.0463
2520,0.002,0.0064,0.0454
2530,0.002,0.0066,0.0459
2540,0.0022,0.007,0.0497
2550,0.002,0.0062,0.0441
2560,0.0046,0.0086,0.0594
2570,0.0027,0.0074,0.0392
2580,0.0028,0.0069,0.0364
2590,0.003,0.0108,0.0397
2600,0.003,0.008,0.0463
2610,0.0025,0.0098,0.0433
2620,0.0035,0.0134,0.0392
2630,0.0033,0.0085,0.0405
2640,0.0025,0.0086,0.0466
2650,0.0024,0.009,0.0457
2660,0.0024,0.0103,0.0382
2670,0.0021,0.0079,0.0394
2680,0.002,0.0071,0.0435
2690,0.002,0.007,0.0464
2700,0.0019,0.0066,0.0447
